Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
846,2-STORY 1946 & NEWER,Residential Low-Density,75,9317,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,Two-story,Good,Average,1993,1993,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,137,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,513,Unfinished,0,227,740,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1006,769,0,1775,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993.0,Unfinished,2,425,Typical/Average,Typical/Average,Paved,234,72,192,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,213000
847,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,36,15523,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Above Average,1972,1972,Gable,Standard (Composite) Shingle,Hard Board,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,460,Unfinished,0,404,864,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,864,0,0,864,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1972.0,Unfinished,1,338,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,133500
848,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,75,45600,Paved,Moderately Irregular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Clear Creek,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Very Good,1908,1997,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,907,907,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1307,1051,0,2358,0,0,3,0,5,1,Typical/Average,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1908.0,Unfinished,2,360,Fair,Typical/Average,Paved,486,40,0,0,175,0,No,No,No,0,Sep,2008,Warranty Deed - Conventional,Normal Sale,240000
849,SPLIT OR MULTI-LEVEL,Residential Low-Density,80,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,Veenker,Feedr,Norm,1Fam,Split Level,Above Average,Good,1976,1994,Hip,Standard (Composite) Shingle,Plywood,Plywood,360,Gd,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,528,528,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1094,761,0,1855,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,Rough Finished,2,512,Typical/Average,Typical/Average,Paved,113,100,0,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,187000
850,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,36,4435,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,TwnhsE,One story,Above Average,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,170,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,659,Unfinished,0,189,848,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,848,0,0,848,1,0,1,0,1,1,Good,3,Typical Functionality,0,No,Attached to the home,2003.0,Finished,2,420,Typical/Average,Typical/Average,Paved,140,0,0,0,0,0,No,No,No,0,Nov,2007,Warranty Deed - Conventional,Normal Sale,131500
851,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,0,3196,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Bloomington Heights,Norm,Norm,TwnhsE,One story,Very Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,40,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Unfinished,0,Unfinished,0,1273,1273,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1456,0,0,1456,0,0,2,0,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2003.0,Finished,2,400,Typical/Average,Typical/Average,Paved,143,20,0,0,0,0,No,No,No,0,May,2006,Warranty Deed - Conventional,Normal Sale,215000
852,2-1/2 STORY ALL AGES,Residential Low-Density,53,7128,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Norm,Norm,1Fam,Two and one-half story&2nd level unfinished,Good,Average,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,364,Unfinished,0,554,918,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,918,728,0,1646,0,0,2,0,4,1,Typical/Average,7,Typical Functionality,2,Good - Masonry Fireplace on the main level,Detached from home,1941.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,126,0,No,Minimum Privacy,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,164000
853,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,12095,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,Split Level,Above Average,Above Average,1964,1964,Gable,Standard (Composite) Shingle,Metal Siding,HdBoard,115,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Average Rec Room,564,Unfinished,0,563,1127,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1445,0,0,1445,0,0,1,1,3,1,Typical/Average,7,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1964.0,Rough Finished,2,645,Typical/Average,Typical/Average,Paved,180,0,0,0,0,0,No,Minimum Privacy,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,158000
854,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,102,17920,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Below Average,1955,1974,Hip,Standard (Composite) Shingle,Wd Sdng,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Living Quarters,306,Average Rec Room,1085,372,1763,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1779,0,0,1779,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1955.0,Unfinished,2,454,Typical/Average,Typical/Average,Paved,0,418,0,0,312,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",170000
855,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,6897,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Sawyer,Norm,Norm,1Fam,One story,Average,Very Good,1962,2010,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,659,Unfinished,0,381,1040,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1040,0,0,1040,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1962.0,Unfinished,1,260,Typical/Average,Typical/Average,Paved,0,104,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,127000
856,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,10970,Paved,Slightly irregular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,College Creek,Norm,Norm,1Fam,Split Level,Above Average,Above Average,1978,1978,Gable,Standard (Composite) Shingle,Plywood,HdBoard,0,TA,Average/Typical,CBlock,Good (90-99 inches),Good,Good Exposure,Good Living Quarters,505,Low Quality,435,0,940,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1026,0,0,1026,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1981.0,Unfinished,2,576,Typical/Average,Fair,Paved,0,0,34,0,0,0,No,Minimum Privacy,No,0,Oct,2008,Warranty Deed - Conventional,Normal Sale,147000
857,2-STORY 1946 & NEWER,Residential Low-Density,65,8125,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Above Average,Average,1994,1995,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,702,702,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,702,779,0,1481,0,0,2,1,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1994.0,Finished,2,343,Typical/Average,Typical/Average,Paved,0,36,0,0,0,0,No,No,No,0,Mar,2009,Warranty Deed - Conventional,Normal Sale,174000
858,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10400,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NWAmes,Norm,Norm,1Fam,One story,Good,Average,1976,1976,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,189,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1090,1090,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1370,0,0,1370,0,0,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,Rough Finished,2,479,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,Jun,2009,Warranty Deed - Conventional,Sale between family members,152000
859,2-STORY 1946 & NEWER,Residential Low-Density,0,11029,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NWAmes,PosA,Norm,1Fam,Two-story,Above Average,Good,1968,1984,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,220,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters,619,Unfinished,0,435,1054,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1512,1142,0,2654,1,0,2,1,4,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1968.0,Unfinished,2,619,Typical/Average,Typical/Average,Paved,0,65,0,0,222,0,No,No,No,0,Aug,2006,Warranty Deed - Conventional,Normal Sale,250000
860,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,55,7642,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Crawford,Norm,Norm,1Fam,One and one-half story &2nd level finished,Good,Very Good,1918,1998,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,Gd,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,912,912,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,912,514,0,1426,0,0,1,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1925.0,Unfinished,1,216,Typical/Average,Typical/Average,Paved,0,240,0,0,0,0,No,Good Privacy,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,189950
861,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,75,11625,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Norm,Norm,2fmCon,One story,Average,Below Average,1965,1965,Hip,Standard (Composite) Shingle,Plywood,HdBoard,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Below Average Living Quarters,841,Unfinished,0,198,1039,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1039,0,0,1039,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1965.0,Unfinished,2,504,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,131500
862,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,81,9672,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,SawyerW,Norm,Norm,1Fam,One story,Above Average,Average,1984,1985,Hip,Standard (Composite) Shingle,Hard Board,Plywood,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,338,Unfinished,0,702,1040,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1097,0,0,1097,0,0,2,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1986.0,Unfinished,2,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Good Privacy,No,0,May,2010,Warranty Deed - Conventional,Normal Sale,152000
863,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7931,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,Plywood,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,1148,Unfinished,0,0,1148,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1148,0,0,1148,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1959.0,Unfinished,1,672,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Good Privacy,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,132500
864,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,72,8640,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,One story,Good,Average,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1372,1372,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1372,0,0,1372,0,0,2,0,3,1,Good,6,Typical Functionality,0,No,Attached to the home,2008.0,Finished,2,529,Typical/Average,Typical/Average,Paved,0,140,0,0,0,0,No,No,No,0,May,2008,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),250580
865,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8750,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1970,1970,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,76,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,828,Unfinished,0,174,1002,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1002,0,0,1002,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1973.0,Unfinished,2,902,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Minimum Privacy,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,148500
866,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,67,10656,Paved,Slightly irregular,HLS,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timber,Norm,Norm,1Fam,One story,Very Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,274,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1638,1638,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1646,0,0,1646,0,0,2,0,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007.0,Rough Finished,3,870,Typical/Average,Typical/Average,Paved,192,80,0,0,0,0,No,No,No,0,Nov,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),248900
867,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,85,6970,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Sawyer,Feedr,Norm,1Fam,One story,Below Average,Average,1961,1961,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,932,Unfinished,0,108,1040,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1120,0,0,1120,1,0,1,1,3,1,Fair,5,Typical Functionality,0,No,Attached to the home,1961.0,Rough Finished,2,544,Typical/Average,Typical/Average,Paved,168,0,0,0,0,0,No,No,Shed (over 100 SF),400,May,2007,Warranty Deed - Conventional,Normal Sale,129000
868,2-STORY 1946 & NEWER,Residential Low-Density,0,14762,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Gilbert,Feedr,Norm,1Fam,Two-story,Average,Above Average,1948,1950,Gable,Standard (Composite) Shingle,Plywood,Plywood,0,TA,Average/Typical,Slab,No,No,No Exposure,No,0,No,0,0,0,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1547,720,53,2320,0,0,2,0,2,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1979.0,Unfinished,2,672,Typical/Average,Typical/Average,Partial Pavement,120,144,0,0,0,0,No,No,No,0,May,2006,Warranty Deed - Conventional,Normal Sale,169000
869,2-STORY 1946 & NEWER,Residential Low-Density,80,9938,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,Two-story,Good,Average,1993,1994,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,246,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,750,Unfinished,0,300,1050,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1062,887,0,1949,1,0,2,1,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993.0,Finished,2,574,Typical/Average,Typical/Average,Paved,156,90,0,0,0,0,No,Good Privacy,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,236000
870,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,6600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,PosN,Norm,1Fam,One story,Average,Average,1962,1962,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,894,894,Gas forced warm air furnace,Good,N,Standard Circuit Breakers & Romex,894,0,0,894,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1962.0,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,109500
871,2-STORY 1946 & NEWER,Residential Low-Density,70,8750,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Above Average,Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,116,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,505,Unfinished,0,299,804,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,804,878,0,1682,0,0,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,1998.0,Rough Finished,2,523,Typical/Average,Typical/Average,Paved,0,77,0,0,0,0,No,No,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,200500
872,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,74,8892,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Good,1953,1996,Gable,Standard (Composite) Shingle,Wood Shingles,Wd Shng,0,Gd,Average/Typical,Stone,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,105,105,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,910,0,0,910,0,0,1,0,3,1,Good,5,Typical Functionality,0,No,Attached to the home,1953.0,Unfinished,2,414,Typical/Average,Typical/Average,Paved,196,0,150,0,0,0,No,Good Wood,No,0,Oct,2008,Warranty Deed - Conventional,Normal Sale,116000
